R,G,B,Is Plant
25,131,177,False
253,193,136,False
228,185,112,False
63,103,91,True
149,227,205,True
27,25,243,False
139,79,179,False
219,171,101,False
32,132,58,True
113,24,85,False
113,153,38,True
117,193,108,True
6,17,225,False
48,48,95,False
132,212,73,True
111,183,229,False
165,32,15,False
245,27,42,False
215,75,30,False
39,19,232,False
135,12,163,False
104,110,63,True
33,231,7,True
247,26,19,False
53,19,104,False
203,82,95,False
120,1,151,False
103,94,155,False
53,98,234,False
35,226,211,True
207,29,234,False
2,150,234,False
232,160,74,False
201,217,53,True
96,220,187,True
105,214,105,True
107,119,139,False
246,12,189,False
57,179,155,True
20,145,58,True
86,151,182,False
81,179,32,True
221,173,253,False
149,111,160,False
253,212,214,False
155,175,3,True
113,34,134,False
232,202,222,False
240,104,73,False
30,170,138,True
67,42,157,False
245,228,246,False
4,150,52,True
3,77,92,False
233,164,155,False
58,66,32,True
98,46,41,False
142,5,218,False
86,6,67,False
237,111,226,False
246,200,153,False
32,219,107,True
205,36,141,False
168,68,206,False
99,57,37,False
179,139,162,False
145,8,104,False
74,1,127,False
7,45,130,False
17,226,243,False
242,129,38,False
89,191,167,True
82,149,30,True
8,222,108,True
61,131,241,False
95,17,127,False
69,210,157,True
219,99,95,False
233,140,116,False
137,150,163,False
186,23,105,False
194,26,176,False
158,80,149,False
246,242,143,False
249,65,68,False
81,68,132,False
128,187,236,False
188,172,62,False
77,69,209,False
235,79,7,False
148,25,93,False
3,100,174,False
94,243,84,True
95,238,106,True
214,199,126,False
130,112,73,False
128,239,169,True
209,212,170,True
165,231,34,True
221,87,250,False
12,152,202,False
107,185,41,True
180,138,50,False
244,20,75,False
49,33,184,False
169,111,96,False
78,73,156,False
54,68,31,True
240,59,32,False
94,157,202,False
158,239,182,True
217,28,78,False
146,99,25,False
64,157,235,False
197,102,43,False
104,219,77,True
33,17,250,False
227,230,57,True
54,101,132,False
144,219,164,True
206,4,208,False
192,126,3,False
138,9,108,False
127,177,126,True
173,71,172,False
135,253,215,True
146,10,93,False
42,245,18,True
122,78,136,False
116,44,95,False
205,246,204,True
195,172,150,False
172,42,251,False
134,47,80,False
41,241,205,True
212,148,154,False
103,50,218,False
146,179,164,True
73,169,67,True
228,12,215,False
183,59,115,False
161,235,161,True
192,97,36,False
164,237,102,True
209,121,53,False
196,224,41,True
119,118,56,True
180,6,45,False
97,17,127,False
13,47,93,False
253,155,198,False
120,110,223,False
6,49,202,False
48,164,183,False
38,233,143,True
251,36,34,False
136,162,4,True
88,48,153,False
87,200,187,True
214,72,114,False
202,240,91,True
13,219,116,True
255,132,140,False
221,169,49,False
24,197,238,False
6,31,197,False
133,33,160,False
107,162,135,True
160,192,77,True
91,81,119,False
67,87,86,True
208,169,184,False
147,68,253,False
148,163,10,True
138,203,123,True
140,10,30,False
143,214,206,True
34,40,151,False
107,191,118,True
128,78,157,False
244,98,82,False
155,186,1,True
161,1,42,False
142,83,113,False
210,185,103,False
26,133,189,False
84,159,52,True
158,238,21,True
163,70,44,False
165,115,38,False
155,191,47,True
6,220,247,False
170,139,70,False
183,73,140,False
146,47,202,False
108,157,113,True
63,40,119,False
89,191,120,True
9,89,254,False
116,5,3,False
2,181,58,True
95,192,84,True
54,120,72,True
243,209,110,False
37,16,112,False
147,203,197,True
211,141,203,False
48,53,20,True
0,117,147,False
164,133,72,False
85,8,5,False
64,235,90,True
9,164,201,False
176,168,140,False
236,14,206,False
187,93,90,False
255,134,132,False
44,235,146,True
189,98,57,False
173,191,176,True
211,117,188,False
125,49,228,False
62,6,123,False
59,154,93,True
191,155,74,False
252,225,210,False
223,74,125,False
148,190,65,True
144,168,160,True
220,36,8,False
240,206,12,False
130,143,73,True
85,194,3,True
35,69,99,False
26,116,122,False
165,204,210,False
203,51,216,False
185,215,82,True
125,221,247,False
31,194,114,True
111,85,230,False
166,186,236,False
103,38,181,False
4,219,68,True
10,140,30,True
35,209,98,True
192,36,36,False
125,119,9,True
116,73,186,False
141,114,239,False
236,130,48,False
15,143,171,False
66,226,167,True
105,1,72,False
97,169,220,False
6,62,228,False
154,127,161,False
142,16,110,False
50,182,160,True
82,193,148,True
133,55,112,False
84,74,139,False
31,187,177,True
127,162,188,False
251,187,65,False
218,248,108,True
190,162,206,False
233,41,204,False
114,239,122,True
133,158,45,True
192,234,147,True
94,101,45,True
13,124,18,True
165,129,187,False
141,144,108,True
61,206,150,True
59,175,73,True
111,133,216,False
141,245,24,True
179,215,9,True
26,239,52,True
80,39,37,False
174,26,232,False
244,62,216,False
96,16,29,False
113,166,155,True
64,22,40,False
38,9,36,False
142,208,67,True
163,251,132,True
8,156,105,True
156,157,69,True
13,136,222,False
2,179,145,True
165,171,137,True
97,90,165,False
56,252,104,True
104,22,161,False
247,13,82,False
82,233,37,True
215,218,75,True
56,141,232,False
91,173,57,True
57,220,144,True
208,30,20,False
35,65,176,False
146,205,92,True
50,147,206,False
86,222,13,True
174,177,72,True
230,50,187,False
48,110,98,True
119,142,187,False
190,253,184,True
62,235,230,True
83,237,209,True
183,93,78,False
218,66,25,False
16,196,41,True
215,234,26,True
169,175,19,True
148,203,81,True
126,38,166,False
251,7,12,False
124,41,28,False
236,205,1,False
128,106,17,False
139,117,62,False
62,128,215,False
98,194,204,False
154,30,160,False
215,97,206,False
59,94,209,False
104,213,78,True
189,48,71,False
133,191,18,True
8,254,138,True
78,184,165,True
7,218,167,True
175,77,93,False
60,50,176,False
65,190,145,True
167,108,157,False
194,2,247,False
185,235,148,True
147,160,93,True
248,4,101,False
163,226,140,True
10,149,23,True
31,161,74,True
81,136,49,True
74,215,46,True
186,93,218,False
194,226,80,True
108,199,220,False
112,32,220,False
15,76,244,False
195,91,203,False
170,247,155,True
60,200,193,True
206,118,7,False
170,61,1,False
44,206,0,True
212,134,70,False
45,60,108,False
154,18,150,False
243,91,56,False
250,156,200,False
151,116,140,False
3,80,3,True
218,146,87,False
47,226,69,True
83,14,149,False
94,43,71,False
67,123,155,False
82,225,191,True
146,8,185,False
26,136,228,False
67,176,169,True
169,128,143,False
239,161,215,False
174,166,165,False
134,156,11,True
46,168,216,False
113,201,124,True
170,90,71,False
27,156,104,True
185,148,146,False
132,31,228,False
123,20,82,False
219,195,31,False
102,225,254,False
168,74,41,False
4,37,213,False
236,32,112,False
25,75,82,False
168,85,46,False
11,105,7,True
8,162,188,False
40,161,67,True
68,243,26,True
160,221,79,True
234,15,2,False
46,0,34,False
143,50,58,False
12,125,16,True
56,61,233,False
152,213,20,True
119,5,92,False
209,154,103,False
88,222,241,False
217,214,26,False
187,97,246,False
228,125,35,False
106,178,116,True
166,124,227,False
93,190,62,True
76,26,97,False
198,130,247,False
209,223,157,True
148,171,118,True
172,156,67,False
121,123,235,False
21,104,246,False
46,113,20,True
191,9,191,False
183,252,227,True
139,106,116,False
127,165,196,False
108,237,38,True
251,185,245,False
98,228,72,True
9,26,34,False
104,110,105,True
134,235,55,True
210,240,5,True
136,27,197,False
203,97,233,False
63,123,232,False
111,185,209,False
131,2,63,False
25,228,255,False
210,85,224,False
188,155,203,False
98,77,116,False
162,164,150,True
79,229,145,True
176,10,69,False
145,233,61,True
228,143,52,False
79,144,159,False
182,38,239,False
158,95,66,False
221,214,76,False
111,188,189,False
186,221,193,True
86,212,184,True
92,193,27,True
177,223,221,True
175,62,84,False
151,191,30,True
116,91,72,False
105,247,87,True
198,251,213,True
81,168,221,False
223,173,217,False
3,159,30,True
126,101,171,False
231,232,102,True
18,163,240,False
144,18,96,False
25,94,247,False
124,219,194,True
180,221,26,True
69,229,135,True
61,116,185,False
149,7,84,False
66,244,56,True
183,40,33,False
81,77,116,False
254,58,212,False
176,8,144,False
208,169,140,False
27,68,171,False
217,105,129,False
169,226,79,True
242,27,145,False
167,244,208,True
237,224,117,False
160,249,80,True
36,118,54,True
239,228,151,False
177,32,232,False
42,99,95,True
88,189,38,True
172,6,39,False
245,218,64,False
142,48,250,False
240,10,164,False
80,151,132,True
180,186,179,True
8,37,150,False
90,51,23,False
167,40,181,False
98,42,166,False
179,33,116,False
138,196,13,True
191,82,203,False
79,26,161,False
71,9,72,False
52,222,239,False
9,38,174,False
160,134,143,False
209,127,205,False
175,166,42,False
13,27,211,False
245,190,36,False
67,107,193,False
55,75,37,True
31,58,15,True
219,133,215,False
87,181,153,True
168,2,198,False
43,117,187,False
8,121,180,False
194,112,50,False
153,166,113,True
210,206,179,False
25,11,16,False
245,71,61,False
166,236,225,True
238,29,62,False
122,102,77,False
49,63,239,False
124,87,154,False
31,42,161,False
75,167,164,True
155,224,122,True
115,164,182,False
59,119,96,True
130,5,96,False
158,35,206,False
212,132,176,False
88,212,191,True
0,114,104,True
65,206,1,True
96,10,127,False
233,134,53,False
197,207,78,True
148,207,149,True
241,56,177,False
43,18,236,False
121,239,107,True
87,33,32,False
13,154,5,True
140,33,142,False
95,105,182,False
231,182,252,False
131,246,253,False
178,198,15,True
170,198,11,True
105,250,39,True
130,228,90,True
130,251,88,True
184,84,192,False
82,232,210,True
20,73,137,False
212,44,205,False
2,202,92,True
147,242,115,True
119,77,115,False
101,152,94,True
40,162,124,True
99,244,19,True
77,23,171,False
126,47,190,False
125,38,26,False
88,21,159,False
236,174,62,False
63,42,184,False
219,19,223,False
54,85,219,False
33,191,26,True
224,190,175,False
157,69,51,False
208,109,87,False
194,216,184,True
159,7,2,False
98,187,251,False
180,205,177,True
249,155,88,False
156,204,17,True
205,108,175,False
103,208,252,False
111,71,187,False
157,234,73,True
139,171,66,True
149,159,169,False
106,29,6,False
82,113,232,False
15,231,173,True
61,242,230,True
164,173,142,True
178,238,130,True
240,181,219,False
187,88,123,False
12,30,149,False
227,59,36,False
58,207,211,False
200,69,198,False
201,108,29,False
157,0,192,False
10,90,206,False
21,81,132,False
29,96,154,False
126,61,95,False
26,138,24,True
41,39,192,False
8,133,95,True
228,199,250,False
228,246,220,True
219,156,167,False
234,167,211,False
229,240,148,True
180,39,103,False
93,135,59,True
191,107,94,False
219,77,149,False
95,231,239,False
96,98,145,False
111,147,238,False
45,220,10,True
56,33,78,False
158,251,109,True
221,133,47,False
217,58,169,False
142,61,255,False
14,111,43,True
239,8,140,False
139,239,183,True
94,169,56,True
120,225,165,True
62,46,247,False
16,239,209,True
153,94,57,False
80,162,147,True
36,144,48,True
79,185,13,True
41,89,88,True
248,117,41,False
181,17,114,False
65,211,106,True
190,128,163,False
93,45,7,False
132,191,133,True
241,195,45,False
228,183,134,False
251,93,73,False
240,244,3,True
11,154,128,True
24,52,191,False
131,70,201,False
157,225,120,True
53,202,239,False
44,167,218,False
28,163,237,False
228,247,89,True
181,163,127,False
76,182,248,False
239,151,118,False
29,87,160,False
34,104,201,False
217,134,185,False
33,183,137,True
205,197,99,False
32,87,159,False
169,57,209,False
152,85,91,False
247,119,211,False
121,189,219,False
205,231,44,True
121,15,243,False
184,211,67,True
31,61,57,True
191,174,227,False
74,113,183,False
191,247,10,True
93,63,101,False
90,21,156,False
70,213,187,True
152,47,109,False
146,230,229,True
174,74,146,False
70,165,211,False
206,238,95,True
95,132,215,False
164,168,167,True
173,26,234,False
191,189,251,False
186,24,209,False
161,171,50,True
64,82,216,False
144,181,82,True
180,27,101,False
28,176,53,True
153,157,163,False
117,222,137,True
128,65,34,False
201,244,205,True
37,228,170,True
191,169,36,False
8,243,49,True
87,211,52,True
10,134,108,True
31,85,46,True
209,217,109,True
207,205,80,False
141,178,218,False
195,228,137,True
150,137,195,False
217,27,0,False
124,20,118,False
39,25,141,False
86,167,69,True
196,124,109,False
69,252,162,True
58,13,36,False
77,61,234,False
178,57,55,False
229,251,0,True
117,96,41,False
3,194,40,True
28,86,174,False
204,232,218,True
0,234,195,True
224,218,186,False
11,109,75,True
201,240,190,True
66,91,145,False
71,180,170,True
139,48,23,False
99,5,50,False
179,7,128,False
101,86,4,False
83,236,13,True
64,216,167,True
80,98,11,True
239,246,237,True
209,34,248,False
185,115,154,False
31,97,75,True
30,17,196,False
6,27,7,True
73,46,24,False
205,151,161,False
77,179,213,False
117,235,57,True
111,190,151,True
216,181,78,False
107,170,244,False
90,135,249,False
31,23,195,False
130,173,149,True
116,63,175,False
7,39,69,False
82,85,162,False
217,194,220,False
94,213,81,True
252,23,145,False
207,95,99,False
184,61,13,False
24,93,251,False
177,31,180,False
227,181,44,False
198,142,73,False
155,91,252,False
75,89,206,False
30,51,206,False
68,140,243,False
118,180,218,False
84,251,105,True
89,80,200,False
20,29,218,False
41,82,74,True
30,137,150,False
106,156,119,True
200,225,129,True
102,58,253,False
68,93,127,False
163,83,183,False
136,72,164,False
32,16,158,False
44,250,249,True
88,178,102,True
231,33,129,False
207,224,206,True
224,103,70,False
178,52,90,False
32,55,161,False
142,0,93,False
108,237,158,True
210,123,156,False
146,57,187,False
11,247,16,True
83,178,126,True
53,55,242,False
9,247,244,True
1,170,142,True
248,20,186,False
235,130,41,False
61,147,205,False
187,185,160,False
185,63,177,False
204,4,75,False
33,164,158,True
233,151,150,False
52,208,178,True
120,131,79,True
208,69,110,False
145,1,85,False
253,73,192,False
64,120,93,True
222,231,156,True
185,91,246,False
159,85,46,False
72,152,12,True
211,16,90,False
198,111,167,False
114,199,152,True
102,141,86,True
125,113,112,False
140,164,161,True
201,163,215,False
91,110,244,False
61,210,170,True
207,77,107,False
7,251,225,True
146,186,57,True
109,60,162,False
192,61,194,False
74,164,84,True
188,76,212,False
66,143,55,True
11,242,162,True
90,123,38,True
17,123,63,True
81,121,183,False
9,198,74,True
219,42,117,False
149,80,84,False
48,77,197,False
14,176,25,True
101,60,32,False
97,124,18,True
36,137,214,False
124,146,171,False
239,160,105,False
223,146,82,False
255,246,69,False
51,132,134,False
128,129,48,True
61,226,253,False
106,27,108,False
122,135,245,False
125,230,142,True
236,113,5,False
108,119,250,False
77,222,75,True
71,185,170,True
178,44,230,False
47,210,122,True
241,134,53,False
135,62,47,False
217,143,101,False
210,6,255,False
74,209,145,True
245,41,2,False
116,136,176,False
112,99,14,False
195,109,131,False
206,5,214,False
186,118,251,False
158,174,167,True
127,216,26,True
22,139,169,False
201,148,111,False
196,121,174,False
18,66,13,True
204,131,142,False
176,200,118,True
244,170,82,False
66,107,64,True
22,36,139,False
113,19,159,False
152,44,128,False
23,226,58,True
131,247,22,True
119,238,237,True
225,147,181,False
176,195,33,True
211,167,73,False
105,54,181,False
93,23,162,False
9,99,67,True
238,55,71,False
113,28,48,False
120,207,33,True
195,228,213,True
232,89,28,False
126,150,160,False
6,70,63,True
130,106,125,False
242,118,2,False
162,0,236,False
237,75,141,False
21,161,148,True
217,120,113,False
71,95,98,False
168,186,119,True
76,132,118,True
79,56,169,False
157,182,120,True
128,189,253,False
7,157,255,False
34,226,45,True
232,40,24,False
50,44,72,False
143,147,16,True
200,21,235,False
23,153,94,True
66,223,65,True
60,152,73,True
183,97,16,False
9,87,25,True
235,15,125,False
73,195,251,False
40,211,12,True
237,191,147,False
39,127,193,False
131,99,210,False
40,156,210,False
147,124,140,False
142,169,39,True
182,181,22,False
164,10,120,False
177,105,231,False
200,212,231,False
9,63,251,False
167,206,0,True
62,107,232,False
41,173,175,False
170,116,255,False
198,184,127,False
54,77,190,False
216,168,95,False
213,239,83,True
161,216,249,False
172,182,138,True
192,239,178,True
224,71,115,False
245,203,108,False
28,167,13,True
69,49,219,False
248,255,58,True
13,166,71,True
247,132,11,False
163,65,46,False
74,144,172,False
208,35,205,False
103,202,218,False
128,172,206,False
48,78,233,False
240,148,254,False
85,195,218,False
14,86,224,False
115,6,43,False
97,245,238,True
16,205,72,True
102,133,200,False
192,219,59,True
135,142,68,True
234,4,178,False
161,55,240,False
75,160,207,False
188,169,113,False
195,56,154,False
211,168,161,False
44,123,149,False
192,29,46,False
163,74,170,False
194,150,26,False
76,100,164,False
9,156,195,False
22,46,190,False
148,198,159,True
137,191,245,False
3,216,5,True
35,42,228,False
149,150,89,True
246,192,28,False
163,148,255,False
147,157,128,True
59,0,69,False
139,55,197,False
80,86,19,True
182,91,135,False
16,152,165,False
41,36,22,False
1,184,112,True
123,83,214,False
235,7,58,False
165,233,33,True
255,51,122,False
154,123,101,False
136,41,235,False
231,217,218,False
19,111,76,True
119,149,239,False
246,145,88,False
123,0,63,False
0,11,33,False
245,6,162,False
33,235,189,True
71,32,180,False
214,63,18,False
234,135,2,False
30,184,224,False
182,227,185,True
30,223,245,False
90,233,36,True
114,13,121,False
241,23,254,False
179,155,243,False
19,59,203,False
201,183,198,False
152,197,116,True
144,117,223,False
101,242,95,True
240,111,191,False
15,2,237,False
21,132,23,True
72,184,252,False
34,159,133,True
100,182,251,False
46,48,152,False
35,39,196,False
246,169,14,False
127,185,29,True
49,53,101,False
246,124,66,False
142,208,66,True
187,138,137,False
47,179,200,False
9,35,187,False
225,108,76,False
159,101,74,False
92,122,58,True
227,169,27,False
78,22,122,False
201,215,239,False
135,12,221,False
207,218,117,True
120,43,10,False
110,69,71,False
82,80,58,True
58,45,198,False
255,78,191,False
133,64,5,False
140,77,44,False
246,159,191,False
201,249,179,True
7,195,73,True
127,201,49,True
110,94,145,False
103,141,183,False
101,55,221,False
41,233,125,True
136,153,41,True
43,238,76,True
43,202,190,True
15,194,5,True
177,154,128,False
2,150,153,False
74,187,193,False
223,174,199,False
9,125,39,True
220,3,114,False
143,97,235,False
21,205,184,True
118,199,220,False
254,215,222,False
254,12,39,False
250,189,17,False
35,99,180,False
76,247,208,True
92,13,214,False
134,249,142,True
169,223,250,False
235,140,181,False
149,108,121,False
62,23,37,False
70,89,181,False
75,119,100,True
12,142,75,True
18,58,9,True
158,10,64,False
165,251,92,True
153,249,51,True
127,201,60,True
161,33,232,False
187,152,45,False
48,139,176,False
243,130,34,False
83,180,192,False
10,81,139,False
6,214,55,True
84,17,108,False
57,162,54,True
111,84,239,False
150,146,126,False
96,66,122,False
19,86,70,True
142,210,15,True
132,10,45,False
44,234,74,True
193,204,194,True
158,244,127,True
213,87,132,False
221,200,47,False
158,91,246,False
158,168,28,True
155,102,181,False
226,3,22,False
226,46,236,False
161,253,96,True
27,210,93,True
68,242,51,True
136,136,74,False
236,104,159,False
225,85,142,False
42,157,245,False
60,4,101,False
184,98,137,False
159,124,166,False
161,56,87,False
188,152,37,False
207,40,186,False
200,236,92,True
214,16,85,False
145,22,129,False
196,198,184,True
174,175,234,False
235,59,81,False
44,250,225,True
62,122,83,True
27,240,67,True
95,20,63,False
22,168,7,True
49,127,96,True
44,179,3,True
89,86,55,True
152,249,16,True
42,245,20,True
68,59,236,False
90,221,28,True
171,121,251,False
85,239,227,True
218,140,44,False
115,193,55,True
148,157,32,True
202,22,10,False
111,161,23,True
192,102,251,False
173,167,223,False
110,52,19,False
16,42,28,True
170,80,193,False
119,124,179,False
18,14,18,False
124,27,207,False
82,44,175,False
53,186,183,True
195,225,99,True
124,252,25,True
87,228,172,True
107,1,192,False
152,156,118,True
72,45,198,False
62,199,67,True
79,238,50,True
160,32,58,False
184,8,42,False
79,166,201,False
166,240,137,True
115,249,245,True
202,61,152,False
138,230,57,True
113,180,144,True
188,175,154,False
34,54,191,False
66,170,110,True
211,169,123,False
55,122,181,False
72,142,65,True
137,20,63,False
41,161,185,False
82,62,94,False
225,79,100,False
83,46,105,False
164,242,123,True
2,190,255,False
24,242,230,True
248,254,115,True
58,193,48,True
69,13,47,False
150,228,114,True
147,83,45,False
63,222,199,True
236,225,2,False
116,210,3,True
102,193,144,True
68,240,200,True
244,8,16,False
254,195,68,False
132,70,252,False
218,252,176,True
238,212,239,False
81,152,15,True
239,252,201,True
241,66,162,False
199,122,234,False
190,247,160,True
15,185,205,False
180,10,171,False
241,119,243,False
177,6,67,False
182,202,86,True
234,201,54,False
156,219,12,True
187,22,125,False
135,247,246,True
196,114,39,False
175,185,242,False
19,235,14,True
185,58,50,False
93,126,229,False
147,92,154,False
102,155,172,False
191,106,42,False
19,49,103,False
174,17,58,False
119,76,177,False
29,123,244,False
244,141,149,False
138,234,59,True
153,95,30,False
225,179,173,False
190,228,200,True
201,11,159,False
144,90,58,False
213,129,35,False
48,187,68,True
172,176,165,True
186,213,53,True
43,245,161,True
80,175,80,True
155,241,211,True
165,150,227,False
111,182,230,False
120,244,252,False
7,102,116,False
2,72,84,False
230,13,164,False
49,142,104,True
39,115,17,True
155,205,30,True
123,73,58,False
83,250,200,True
130,212,137,True
69,233,213,True
2,241,220,True
117,84,112,False
159,253,54,True
77,96,160,False
114,105,177,False
28,237,176,True
65,173,143,True
244,39,203,False
74,192,53,True
149,30,144,False
217,194,109,False
236,143,237,False
255,97,66,False
237,29,26,False
77,252,250,True
227,79,213,False
203,50,229,False
105,54,12,False
55,11,128,False
4,227,114,True
145,236,250,False
140,231,135,True
230,111,220,False
243,230,219,False
216,55,10,False
225,56,218,False
120,49,225,False
154,231,243,False
130,140,168,False
143,250,166,True
31,70,133,False
199,157,55,False
61,17,78,False
171,233,198,True
35,49,8,True
205,134,86,False
132,239,149,True
228,37,46,False
183,94,84,False
72,235,36,True
236,116,66,False
79,208,218,False
178,66,145,False
148,53,147,False
181,5,245,False
254,63,139,False
152,217,107,True
236,163,173,False
245,141,226,False
96,77,98,False
242,1,66,False
34,25,165,False
143,49,142,False
78,127,188,False
126,34,226,False
254,19,212,False
224,219,205,False
177,71,131,False
101,58,12,False
12,70,59,True
171,45,156,False
110,55,15,False
66,251,204,True
10,13,64,False
189,84,224,False
138,145,20,True
79,83,239,False
72,195,254,False
44,54,21,True
47,30,135,False
164,135,67,False
155,195,147,True
241,117,157,False
47,244,240,True
27,168,132,True
147,215,160,True
145,29,166,False
127,42,107,False
156,95,144,False
165,158,204,False
231,229,164,False
210,90,182,False
142,37,139,False
56,164,33,True
159,214,140,True
255,240,113,False
72,93,208,False
205,99,51,False
216,18,214,False
72,231,132,True
229,182,144,False
206,91,162,False
223,25,227,False
94,98,199,False
35,201,85,True
76,4,185,False
171,220,96,True
222,234,77,True
15,164,224,False
255,193,94,False
91,105,171,False
91,214,248,False
119,213,213,False
24,118,20,True
138,192,62,True
93,253,182,True
38,126,193,False
22,61,104,False
244,102,96,False
89,250,246,True
109,158,127,True
180,79,186,False
221,87,22,False
126,234,198,True
145,135,123,False
208,12,181,False
53,209,190,True
225,189,4,False
195,158,36,False
169,143,61,False
48,24,30,False
122,15,53,False
115,163,229,False
237,219,203,False
84,173,66,True
108,38,246,False
42,65,39,True
88,117,217,False
175,96,43,False
85,42,58,False
202,209,61,True
39,129,232,False
55,1,37,False
69,92,237,False
75,236,2,True
37,73,172,False
89,111,155,False
163,176,28,True
168,142,187,False
130,65,248,False
148,169,11,True
245,251,64,True
102,143,161,False
174,93,178,False
177,222,193,True
239,67,105,False
150,69,46,False
153,17,90,False
201,241,152,True
248,18,131,False
116,219,106,True
67,219,7,True
149,56,248,False
44,135,201,False
213,26,10,False
238,69,252,False
165,21,120,False
187,239,191,True
155,26,224,False
70,15,137,False
75,144,93,True
97,121,188,False
250,157,44,False
176,11,232,False
154,119,61,False
194,107,73,False
77,13,230,False
165,59,157,False
62,252,70,True
91,24,60,False
72,105,188,False
152,165,249,False
157,218,100,True
46,123,22,True
193,97,62,False
7,108,81,True
23,55,140,False
193,189,41,False
89,15,121,False
11,27,178,False
7,141,93,True
130,125,149,False
209,74,193,False
141,23,126,False
204,241,138,True
234,9,207,False
137,216,133,True
177,33,109,False
229,20,228,False
57,122,49,True
9,76,168,False
252,250,235,False
23,210,78,True
122,163,113,True
19,181,74,True
109,125,222,False
226,166,127,False
174,122,48,False
221,133,138,False
98,255,191,True
80,189,104,True
125,254,241,True
212,14,131,False
79,29,62,False
117,242,227,True
136,128,76,False
142,22,31,False
84,135,148,False
193,51,212,False
91,230,125,True
96,158,57,True
159,203,152,True
65,135,65,True
254,76,222,False
217,228,164,True
183,91,61,False
73,172,244,False
211,116,220,False
227,59,216,False
172,23,199,False
149,77,115,False
155,100,199,False
213,82,165,False
75,19,115,False
110,243,247,False
128,225,177,True
241,197,20,False
95,130,97,True
145,7,138,False
233,251,202,True
145,197,121,True
224,113,161,False
9,30,22,True
241,223,186,False
91,8,1,False
101,222,241,False
20,90,247,False
141,156,107,True
172,62,78,False
237,243,175,True
170,228,68,True
239,206,119,False
229,207,194,False
33,0,24,False
201,169,251,False
97,41,83,False
192,205,207,False
66,9,121,False
167,172,235,False
209,48,179,False
229,49,14,False
14,248,144,True
181,46,33,False
42,51,122,False
212,141,69,False
226,31,186,False
106,232,207,True
16,137,203,False
98,27,247,False
31,9,196,False
209,55,202,False
238,50,133,False
123,65,177,False
200,24,209,False
82,138,89,True
192,139,214,False
39,113,160,False
208,0,144,False
218,241,164,True
250,48,228,False
195,138,253,False
35,128,249,False
67,41,49,False
33,52,194,False
169,158,85,False
28,53,45,True
202,57,164,False
229,113,44,False
67,147,180,False
233,50,247,False
161,69,240,False
49,114,131,False
228,217,81,False
232,67,22,False
28,152,235,False
125,245,35,True
189,219,34,True
215,194,180,False
118,221,65,True
11,143,216,False
217,175,240,False
242,193,228,False
188,124,101,False
209,95,207,False
229,105,20,False
25,54,102,False
49,151,103,True
183,207,62,True
96,155,200,False
64,76,31,True
14,234,81,True
111,44,172,False
31,109,93,True
44,157,65,True
219,95,14,False
244,112,44,False
138,87,208,False
186,77,170,False
150,10,119,False
212,106,251,False
45,47,140,False
234,176,44,False
6,46,126,False
197,54,110,False
197,31,47,False
187,35,82,False
168,183,240,False
143,43,240,False
216,105,219,False
19,106,152,False
21,73,152,False
233,190,115,False
88,164,49,True
65,12,26,False
36,114,110,True
182,223,219,True
171,199,101,True
42,167,95,True
138,117,168,False
229,115,78,False
17,58,93,False
121,27,107,False
205,12,167,False
17,184,201,False
254,201,48,False
123,165,100,True
208,59,51,False
223,200,82,False
134,62,124,False
178,156,217,False
119,47,30,False
208,16,128,False
187,154,45,False
245,77,69,False
97,235,209,True
141,62,158,False
72,207,124,True
64,58,55,False
13,217,137,True
4,16,238,False
14,32,243,False
8,167,163,True
207,161,141,False
22,80,44,True
17,45,250,False
54,135,36,True
35,103,206,False
90,115,23,True
227,176,128,False
127,95,128,False
11,142,76,True
64,171,184,False
42,214,146,True
204,6,153,False
113,134,112,True
154,66,69,False
223,5,207,False
98,200,212,False
59,53,215,False
196,126,115,False
142,175,235,False
33,206,178,True
212,90,183,False
165,46,66,False
155,13,8,False
25,98,109,False
128,49,151,False
223,209,109,False
108,36,223,False
154,119,111,False
166,89,111,False
97,159,38,True
203,113,237,False
134,202,134,True
187,20,226,False
59,118,42,True
21,166,212,False
178,153,213,False
17,34,133,False
3,15,109,False
176,125,103,False
47,253,23,True
83,136,235,False
104,131,8,True
44,132,50,True
93,230,185,True
21,58,75,False
55,14,49,False
197,140,85,False
25,185,115,True
70,116,105,True
252,224,0,False
142,200,70,True
95,81,128,False
146,39,108,False
75,159,51,True
185,67,158,False
49,118,221,False
155,134,17,False
144,214,240,False
25,216,120,True
80,141,204,False
93,245,151,True
162,188,56,True
233,88,143,False
73,175,4,True
105,160,69,True
220,252,57,True
64,27,196,False
126,81,63,False
169,118,92,False
141,203,175,True
183,198,226,False
48,210,141,True
85,100,34,True
136,20,150,False
117,95,212,False
74,44,192,False
251,96,110,False
245,61,50,False
118,50,248,False
123,88,99,False
253,198,182,False
63,98,235,False
121,77,4,False
209,110,79,False
208,39,168,False
75,180,173,True
65,4,119,False
18,110,50,True
222,72,22,False
19,43,201,False
234,249,6,True
110,33,37,False
54,87,176,False
189,213,243,False
46,236,112,True
46,116,3,True
175,205,153,True
225,136,82,False
184,10,185,False
145,211,229,False
36,194,146,True
244,19,99,False
27,87,106,False
40,180,217,False
113,223,91,True
224,225,15,True
193,25,121,False
17,192,147,True
40,96,247,False
15,144,45,True
113,229,28,True
188,183,135,False
33,238,120,True
97,150,180,False
241,183,19,False
6,178,185,False
